Source,Type,Target,Weight
A_beggar,Undirected,Amy,1
A_beggar,Undirected,Bride,1
A_beggar,Undirected,Constable,1
A_beggar,Undirected,Courtier,1
A_beggar,Undirected,Groom,1
A_beggar,Undirected,Hilliard,1
A_beggar,Undirected,Lawyer,1
A_beggar,Undirected,Meriel,1
A_beggar,Undirected,Patrico,1
A_beggar,Undirected,Rachel,1
A_beggar,Undirected,Scribble,1
A_beggar,Undirected,Sentwell,1
A_beggar,Undirected,Soldier,1
A_beggar,Undirected,Springlove,1
A_beggar,Undirected,Vincent,1
All_the_Beggars,Undirected,Autem Mort,1
All_the_Beggars,Undirected,Hearty,1
All_the_Beggars,Undirected,Oldrents,1
All_the_Beggars,Undirected,Patrico,1
All_the_Beggars,Undirected,Randall,1
Amy,Undirected,Bride,1
Amy,Undirected,Clack,1
Amy,Undirected,Constable,1
Amy,Undirected,Courtier,1
Amy,Undirected,Gentleman_1,1
Amy,Undirected,Gentleman_2,1
Amy,Undirected,Groom,1
Amy,Undirected,Hearty,1
Amy,Undirected,Hilliard,3
Amy,Undirected,Lawyer,2
Amy,Undirected,Martin,2
Amy,Undirected,Meriel,3
Amy,Undirected,Oldrents,1
Amy,Undirected,Oliver,2
Amy,Undirected,Patrico,2
Amy,Undirected,Rachel,3
Amy,Undirected,Randall,1
Amy,Undirected,Scribble,2
Amy,Undirected,Sentwell,2
Amy,Undirected,Soldier,2
Amy,Undirected,Springlove,3
Amy,Undirected,Tallboy,1
Amy,Undirected,Vincent,3
Autem Mort,Undirected,Hearty,1
Autem Mort,Undirected,Oldrents,1
Autem Mort,Undirected,Patrico,1
Autem Mort,Undirected,Randall,1
Bride,Undirected,Constable,1
Bride,Undirected,Courtier,1
Bride,Undirected,Groom,1
Bride,Undirected,Hilliard,1
Bride,Undirected,Lawyer,1
Bride,Undirected,Meriel,1
Bride,Undirected,Patrico,1
Bride,Undirected,Rachel,1
Bride,Undirected,Scribble,1
Bride,Undirected,Sentwell,1
Bride,Undirected,Soldier,1
Bride,Undirected,Springlove,1
Bride,Undirected,Vincent,1
Butler,Undirected,Chaplain,1
Butler,Undirected,Cook,1
Butler,Undirected,Hearty,1
Butler,Undirected,Oldrents,1
Butler,Undirected,Oliver,1
Butler,Undirected,Randall,1
Butler,Undirected,Tallboy,1
Butler,Undirected,Usher,1
Chaplain,Undirected,Cook,1
Chaplain,Undirected,Hearty,1
Chaplain,Undirected,Oldrents,1
Chaplain,Undirected,Oliver,1
Chaplain,Undirected,Randall,1
Chaplain,Undirected,Tallboy,1
Chaplain,Undirected,Usher,1
Clack,Undirected,Hearty,1
Clack,Undirected,Hilliard,1
Clack,Undirected,Lawyer,1
Clack,Undirected,Martin,1
Clack,Undirected,Meriel,1
Clack,Undirected,Oldrents,1
Clack,Undirected,Oliver,1
Clack,Undirected,Patrico,1
Clack,Undirected,Rachel,1
Clack,Undirected,Randall,1
Clack,Undirected,Scribble,1
Clack,Undirected,Sentwell,1
Clack,Undirected,Soldier,1
Clack,Undirected,Springlove,1
Clack,Undirected,Tallboy,1
Clack,Undirected,Vincent,1
Constable,Undirected,Courtier,1
Constable,Undirected,Groom,1
Constable,Undirected,Hilliard,1
Constable,Undirected,Lawyer,1
Constable,Undirected,Meriel,1
