Source,Type,Target,Weight
Alicia,Undirected,Apprentice,1
Alicia,Undirected,Bellamy,4
Alicia,Undirected,Careless,2
Alicia,Undirected,Closet,2
Alicia,Undirected,Crostill,2
Alicia,Undirected,Fitzgerrard,1
Alicia,Undirected,Lady,3
Alicia,Undirected,Lovely,2
Alicia,Undirected,Old_Bellamy,2
Alicia,Undirected,Page,1
Alicia,Undirected,Phoebe,2
Alicia,Undirected,Saleware,5
Alicia,Undirected,Saveall,3
Alicia,Undirected,Thrivewell,1
Alicia,Undirected,Wat,2
Apprentice,Undirected,Bellamy,1
Apprentice,Undirected,Lady,1
Apprentice,Undirected,Saleware,1
Bellamy,Undirected,Careless,3
Bellamy,Undirected,Closet,2
Bellamy,Undirected,Crostill,3
Bellamy,Undirected,Fitzgerrard,1
Bellamy,Undirected,Lady,3
Bellamy,Undirected,Lovely,2
Bellamy,Undirected,Old_Bellamy,1
Bellamy,Undirected,Phoebe,2
Bellamy,Undirected,Saleware,4
Bellamy,Undirected,Saveall,3
Bellamy,Undirected,Thrivewell,1
Bellamy,Undirected,Wat,2
Careless,Undirected,Closet,4
Careless,Undirected,Crostill,3
Careless,Undirected,Fitzgerrard,1
Careless,Undirected,Lady,5
Careless,Undirected,Lovely,2
Careless,Undirected,Old_Bellamy,1
Careless,Undirected,Phoebe,3
Careless,Undirected,Saleware,3
Careless,Undirected,Saveall,7
Careless,Undirected,Thrivewell,3
Careless,Undirected,Wat,4
Closet,Undirected,Crostill,2
Closet,Undirected,Fitzgerrard,1
Closet,Undirected,Lady,5
Closet,Undirected,Lovely,1
Closet,Undirected,Old_Bellamy,1
Closet,Undirected,Phoebe,3
Closet,Undirected,Saleware,2
Closet,Undirected,Saveall,4
Closet,Undirected,Thrivewell,3
Closet,Undirected,Wat,3
Crostill,Undirected,Fitzgerrard,1
Crostill,Undirected,Lady,2
Crostill,Undirected,Lovely,2
Crostill,Undirected,Old_Bellamy,1
Crostill,Undirected,Phoebe,2
Crostill,Undirected,Saleware,2
Crostill,Undirected,Saveall,3
Crostill,Undirected,Thrivewell,1
Crostill,Undirected,Wat,2
Fitzgerrard,Undirected,Lady,1
Fitzgerrard,Undirected,Lovely,1
Fitzgerrard,Undirected,Old_Bellamy,1
Fitzgerrard,Undirected,Phoebe,1
Fitzgerrard,Undirected,Saleware,1
Fitzgerrard,Undirected,Saveall,1
Fitzgerrard,Undirected,Thrivewell,1
Fitzgerrard,Undirected,Wat,1
Lady,Undirected,Lovely,1
Lady,Undirected,Old_Bellamy,1
Lady,Undirected,Phoebe,3
Lady,Undirected,Saleware,3
Lady,Undirected,Saveall,5
Lady,Undirected,Thrivewell,4
Lady,Undirected,Wat,3
Lovely,Undirected,Old_Bellamy,2
Lovely,Undirected,Page,1
Lovely,Undirected,Phoebe,1
Lovely,Undirected,Saleware,2
Lovely,Undirected,Saveall,3
Lovely,Undirected,Thrivewell,1
Lovely,Undirected,Wat,1
Old_Bellamy,Undirected,Page,1
Old_Bellamy,Undirected,Phoebe,1
Old_Bellamy,Undirected,Saleware,2
Old_Bellamy,Undirected,Saveall,2
Old_Bellamy,Undirected,Thrivewell,1
Old_Bellamy,Undirected,Wat,1
Page,Undirected,Saleware,1
Page,Undirected,Saveall,1
Phoebe,Undirected,Saleware,3
Phoebe,Undirected,Saveall,3
Phoebe,Undirected,Thrivewell,2
Phoebe,Undirected,Wat,3
Saleware,Undirected,Saveall,4
Saleware,Undirected,Thrivewell,1
Saleware,Undirected,Wat,3
Saveall,Undirected,Thrivewell,3
Saveall,Undirected,Wat,4
Thrivewell,Undirected,Wat,1
