Source,Type,Target,Weight
Anthony,Undirected,Belt,3
Anthony,Undirected,Betty,3
Anthony,Undirected,Boy,1
Anthony,Undirected,Citizen,2
Anthony,Undirected,Clotpoll,6
Anthony,Undirected,Cockbrain,4
Anthony,Undirected,Crosswill,5
Anthony,Undirected,Dorcas,4
Anthony,Undirected,Drawer,3
Anthony,Undirected,Driblow,2
Anthony,Undirected,Francisca,5
Anthony,Undirected,Gabriel,3
Anthony,Undirected,Katherine,3
Anthony,Undirected,Laundress,1
Anthony,Undirected,Lucy,1
Anthony,Undirected,Margery,4
Anthony,Undirected,Mihil,5
Anthony,Undirected,Nicholas,7
Anthony,Undirected,Parson,1
Anthony,Undirected,Pig,1
Anthony,Undirected,Ralph,1
Anthony,Undirected,Rooksbill,3
Anthony,Undirected,Shoemaker,1
Anthony,Undirected,Tailor,1
Anthony,Undirected,Vintner,1
Belt,Undirected,Betty,1
Belt,Undirected,Boy,1
Belt,Undirected,Clotpoll,2
Belt,Undirected,Cockbrain,1
Belt,Undirected,Crosswill,6
Belt,Undirected,Dorcas,2
Belt,Undirected,Drawer,2
Belt,Undirected,Francisca,2
Belt,Undirected,Gabriel,3
Belt,Undirected,Katherine,3
Belt,Undirected,Laundress,1
Belt,Undirected,Lucy,2
Belt,Undirected,Margery,2
Belt,Undirected,Mihil,4
Belt,Undirected,Nicholas,4
Belt,Undirected,Rooksbill,3
Belt,Undirected,Shoemaker,1
Belt,Undirected,Tailor,1
Belt,Undirected,Vintner,1
Betty,Undirected,Boy,1
Betty,Undirected,Citizen,2
Betty,Undirected,Clotpoll,3
Betty,Undirected,Cockbrain,2
Betty,Undirected,Crosswill,2
Betty,Undirected,Dorcas,2
Betty,Undirected,Drawer,2
Betty,Undirected,Driblow,1
Betty,Undirected,Francisca,3
Betty,Undirected,Gabriel,2
Betty,Undirected,Katherine,1
Betty,Undirected,Margery,2
Betty,Undirected,Mihil,2
Betty,Undirected,Nicholas,3
Betty,Undirected,Rooksbill,1
Betty,Undirected,Vintner,1
Boy,Undirected,Clotpoll,1
Boy,Undirected,Crosswill,1
Boy,Undirected,Dorcas,1
Boy,Undirected,Drawer,1
Boy,Undirected,Francisca,1
Boy,Undirected,Gabriel,1
Boy,Undirected,Margery,1
Boy,Undirected,Mihil,1
Boy,Undirected,Nicholas,1
Citizen,Undirected,Clotpoll,2
Citizen,Undirected,Cockbrain,2
Citizen,Undirected,Crosswill,1
Citizen,Undirected,Dorcas,1
Citizen,Undirected,Drawer,1
Citizen,Undirected,Driblow,1
Citizen,Undirected,Francisca,2
Citizen,Undirected,Gabriel,1
Citizen,Undirected,Katherine,1
Citizen,Undirected,Margery,1
Citizen,Undirected,Mihil,1
Citizen,Undirected,Nicholas,2
Citizen,Undirected,Rooksbill,1
Citizen,Undirected,Vintner,1
Clotpoll,Undirected,Cockbrain,4
Clotpoll,Undirected,Crosswill,3
Clotpoll,Undirected,Dorcas,4
Clotpoll,Undirected,Drawer,3
Clotpoll,Undirected,Driblow,2
Clotpoll,Undirected,Francisca,5
Clotpoll,Undirected,Gabriel,3
Clotpoll,Undirected,Katherine,2
Clotpoll,Undirected,Margery,3
Clotpoll,Undirected,Mihil,3
Clotpoll,Undirected,Nicholas,6
Clotpoll,Undirected,Pig,1
Clotpoll,Undirected,Ralph,1
Clotpoll,Undirected,Rooksbill,2
Clotpoll,Undirected,Vintner,1
Cockbrain,Undirected,Crosswill,2
Cockbrain,Undirected,Dorcas,2
Cockbrain,Undirected,Drawer,2
Cockbrain,Undirected,Driblow,2
Cockbrain,Undirected,Francisca,3
Cockbrain,Undirected,Gabriel,2
Cockbrain,Undirected,Katherine,2
Cockbrain,Undirected,Margery,1
Cockbrain,Undirected,Mihil,2
Cockbrain,Undirected,Nicholas,4
Cockbrain,Undirected,Pig,1
Cockbrain,Undirected,Rooksbill,2
Cockbrain,Undirected,Vintner,1
Crosswill,Undirected,Dorcas,3
Crosswill,Undirected,Drawer,2
Crosswill,Undirected,Driblow,1
Crosswill,Undirected,Francisca,3
Crosswill,Undirected,Gabriel,4
Crosswill,Undirected,Katherine,5
Crosswill,Undirected,Laundress,1
Crosswill,Undirected,Lucy,3
Crosswill,Undirected,Margery,4
Crosswill,Undirected,Mihil,6
Crosswill,Undirected,Nicholas,5
Crosswill,Undirected,Parson,1
Crosswill,Undirected,Rooksbill,5
Crosswill,Undirected,Shoemaker,1
Crosswill,Undirected,Tailor,1
Crosswill,Undirected,Vintner,2
Dorcas,Undirected,Drawer,1
Dorcas,Undirected,Driblow,1
Dorcas,Undirected,Francisca,4
Dorcas,Undirected,Gabriel,3
Dorcas,Undirected,Katherine,2
Dorcas,Undirected,Margery,3
Dorcas,Undirected,Mihil,2
Dorcas,Undirected,Nicholas,4
Dorcas,Undirected,Ralph,1
Dorcas,Undirected,Rooksbill,2
Dorcas,Undirected,Vintner,1
Drawer,Undirected,Driblow,1
Drawer,Undirected,Francisca,2
Drawer,Undirected,Gabriel,2
Drawer,Undirected,Katherine,1
Drawer,Undirected,Lucy,1
Drawer,Undirected,Margery,1
Drawer,Undirected,Mihil,3
Drawer,Undirected,Nicholas,4
Drawer,Undirected,Pig,1
Drawer,Undirected,Rooksbill,1
Drawer,Undirected,Vintner,1
Driblow,Undirected,Francisca,1
Driblow,Undirected,Gabriel,1
Driblow,Undirected,Katherine,1
Driblow,Undirected,Margery,1
Driblow,Undirected,Mihil,2
Driblow,Undirected,Nicholas,2
Driblow,Undirected,Pig,1
Driblow,Undirected,Rooksbill,1
Driblow,Undirected,Vintner,1
Francisca,Undirected,Gabriel,3
Francisca,Undirected,Katherine,2
Francisca,Undirected,Margery,3
Francisca,Undirected,Mihil,2
Francisca,Undirected,Nicholas,5
Francisca,Undirected,Ralph,1
Francisca,Undirected,Rooksbill,2
Francisca,Undirected,Vintner,1
Gabriel,Undirected,Katherine,3
Gabriel,Undirected,Lucy,1
Gabriel,Undirected,Margery,2
Gabriel,Undirected,Mihil,3
Gabriel,Undirected,Nicholas,4
Gabriel,Undirected,Rooksbill,3
Gabriel,Undirected,Vintner,2
Katherine,Undirected,Lucy,3
Katherine,Undirected,Margery,2
Katherine,Undirected,Mihil,3
Katherine,Undirected,Nicholas,3
Katherine,Undirected,Parson,1
Katherine,Undirected,Rooksbill,5
Katherine,Undirected,Vintner,2
Laundress,Undirected,Mihil,1
Laundress,Undirected,Nicholas,1
Laundress,Undirected,Shoemaker,1
Laundress,Undirected,Tailor,1
Lucy,Undirected,Margery,1
Lucy,Undirected,Mihil,2
Lucy,Undirected,Nicholas,1
Lucy,Undirected,Parson,1
Lucy,Undirected,Rooksbill,3
Lucy,Undirected,Vintner,1
Margery,Undirected,Mihil,4
Margery,Undirected,Nicholas,3
Margery,Undirected,Parson,1
Margery,Undirected,Ralph,1
Margery,Undirected,Rooksbill,2
Margery,Undirected,Vintner,1
Mihil,Undirected,Nicholas,5
Mihil,Undirected,Parson,1
Mihil,Undirected,Pig,1
Mihil,Undirected,Rooksbill,3
Mihil,Undirected,Shoemaker,1
Mihil,Undirected,Tailor,1
Mihil,Undirected,Vintner,2
Nicholas,Undirected,Pig,1
Nicholas,Undirected,Ralph,1
Nicholas,Undirected,Rooksbill,3
Nicholas,Undirected,Shoemaker,1
Nicholas,Undirected,Tailor,1
Nicholas,Undirected,Vintner,2
Parson,Undirected,Rooksbill,1
Rooksbill,Undirected,Vintner,2
Shoemaker,Undirected,Tailor,1
