Source,Type,Target,Weight
1 Courtier,Undirected,1 Woman,1
1 Courtier,Undirected,2 Courtier,1
1 Courtier,Undirected,2 Woman,1
1 Courtier,Undirected,3 Courtier,1
1 Courtier,Undirected,3 Woman,1
1 Courtier,Undirected,Ballad-Singer,1
1 Courtier,Undirected,Barbara,1
1 Courtier,Undirected,Byplay,1
1 Courtier,Undirected,Car-Man,1
1 Courtier,Undirected,Constable,1
1 Courtier,Undirected,Diana,1
1 Courtier,Undirected,Doctor,1
1 Courtier,Undirected,Gentleman,1
1 Courtier,Undirected,Joyless,1
1 Courtier,Undirected,Letoy,1
1 Courtier,Undirected,Maid,1
1 Courtier,Undirected,Man-scold,1
1 Courtier,Undirected,Martha,1
1 Courtier,Undirected,Old Woman,1
1 Courtier,Undirected,Peregrine,1
1 Courtier,Undirected,Projector,1
1 Courtier,Undirected,Quailpipe,1
1 Courtier,Undirected,Sedanman,1
1 Courtier,Undirected,Servingman,1
1 Courtier,Undirected,Watch,1
1 Courtier,Undirected,Waterman,1
1 Woman,Undirected,2 Courtier,1
1 Woman,Undirected,2 Woman,1
1 Woman,Undirected,3 Courtier,1
1 Woman,Undirected,3 Woman,1
1 Woman,Undirected,Ballad-Singer,1
1 Woman,Undirected,Barbara,1
1 Woman,Undirected,Byplay,1
1 Woman,Undirected,Car-Man,1
1 Woman,Undirected,Constable,1
1 Woman,Undirected,Diana,1
1 Woman,Undirected,Doctor,1
1 Woman,Undirected,Gentleman,1
1 Woman,Undirected,Joyless,1
1 Woman,Undirected,Letoy,1
1 Woman,Undirected,Maid,1
1 Woman,Undirected,Man-scold,1
1 Woman,Undirected,Martha,1
1 Woman,Undirected,Old Woman,1
1 Woman,Undirected,Peregrine,1
1 Woman,Undirected,Projector,1
1 Woman,Undirected,Quailpipe,1
1 Woman,Undirected,Sedanman,1
1 Woman,Undirected,Servingman,1
1 Woman,Undirected,Watch,1
1 Woman,Undirected,Waterman,1
2 Courtier,Undirected,2 Woman,1
2 Courtier,Undirected,3 Courtier,1
2 Courtier,Undirected,3 Woman,1
2 Courtier,Undirected,Ballad-Singer,1
2 Courtier,Undirected,Barbara,1
2 Courtier,Undirected,Byplay,1
2 Courtier,Undirected,Car-Man,1
2 Courtier,Undirected,Constable,1
2 Courtier,Undirected,Diana,1
2 Courtier,Undirected,Doctor,1
2 Courtier,Undirected,Gentleman,1
2 Courtier,Undirected,Joyless,1
2 Courtier,Undirected,Letoy,1
2 Courtier,Undirected,Maid,1
2 Courtier,Undirected,Man-scold,1
2 Courtier,Undirected,Martha,1
2 Courtier,Undirected,Old Woman,1
2 Courtier,Undirected,Peregrine,1
2 Courtier,Undirected,Projector,1
2 Courtier,Undirected,Quailpipe,1
2 Courtier,Undirected,Sedanman,1
2 Courtier,Undirected,Servingman,1
2 Courtier,Undirected,Watch,1
2 Courtier,Undirected,Waterman,1
2 Woman,Undirected,3 Courtier,1
2 Woman,Undirected,3 Woman,1
2 Woman,Undirected,Ballad-Singer,1
2 Woman,Undirected,Barbara,1
2 Woman,Undirected,Byplay,1
2 Woman,Undirected,Car-Man,1
2 Woman,Undirected,Constable,1
2 Woman,Undirected,Diana,1
2 Woman,Undirected,Doctor,1
2 Woman,Undirected,Gentleman,1
2 Woman,Undirected,Joyless,1
2 Woman,Undirected,Letoy,1
2 Woman,Undirected,Maid,1
2 Woman,Undirected,Man-scold,1
2 Woman,Undirected,Martha,1
2 Woman,Undirected,Old Woman,1
2 Woman,Undirected,Peregrine,1
2 Woman,Undirected,Projector,1
2 Woman,Undirected,Quailpipe,1
2 Woman,Undirected,Sedanman,1
2 Woman,Undirected,Servingman,1
2 Woman,Undirected,Watch,1
2 Woman,Undirected,Waterman,1
3 Courtier,Undirected,3 Woman,1
3 Courtier,Undirected,Ballad-Singer,1
3 Courtier,Undirected,Barbara,1
3 Courtier,Undirected,Byplay,1
3 Courtier,Undirected,Car-Man,1
3 Courtier,Undirected,Constable,1
3 Courtier,Undirected,Diana,1
3 Courtier,Undirected,Doctor,1
3 Courtier,Undirected,Gentleman,1
3 Courtier,Undirected,Joyless,1
3 Courtier,Undirected,Letoy,1
3 Courtier,Undirected,Maid,1
3 Courtier,Undirected,Man-scold,1
3 Courtier,Undirected,Martha,1
3 Courtier,Undirected,Old Woman,1
3 Courtier,Undirected,Peregrine,1
3 Courtier,Undirected,Projector,1
3 Courtier,Undirected,Quailpipe,1
3 Courtier,Undirected,Sedanman,1
3 Courtier,Undirected,Servingman,1
3 Courtier,Undirected,Watch,1
3 Courtier,Undirected,Waterman,1
3 Woman,Undirected,Ballad-Singer,1
3 Woman,Undirected,Barbara,1
3 Woman,Undirected,Byplay,1
3 Woman,Undirected,Car-Man,1
3 Woman,Undirected,Constable,1
3 Woman,Undirected,Diana,1
3 Woman,Undirected,Doctor,1
3 Woman,Undirected,Gentleman,1
3 Woman,Undirected,Joyless,1
3 Woman,Undirected,Letoy,1
3 Woman,Undirected,Maid,1
3 Woman,Undirected,Man-scold,1
3 Woman,Undirected,Martha,1
3 Woman,Undirected,Old Woman,1
3 Woman,Undirected,Peregrine,1
3 Woman,Undirected,Projector,1
3 Woman,Undirected,Quailpipe,1
3 Woman,Undirected,Sedanman,1
3 Woman,Undirected,Servingman,1
3 Woman,Undirected,Watch,1
3 Woman,Undirected,Waterman,1
Actor1,Undirected,Actor2,1
Actor1,Undirected,Actor3,1
Actor1,Undirected,Actor4,1
Actor1,Undirected,Barbara,1
