Source,Type,Target,Weight
Boy,Undirected,Charissa,1
Boy,Undirected,Cit-wit,4
Boy,Undirected,Court-wit,3
Boy,Undirected,Dainty,2
Boy,Undirected,Doctor,3
Boy,Undirected,Ferdinand,4
Boy,Undirected,Frederick,1
Boy,Undirected,Mendicant,2
Boy,Undirected,Philomel,4
Boy,Undirected,Projector1,1
Boy,Undirected,Projector2,1
Boy,Undirected,Raphael,2
Boy,Undirected,Servant,1
Boy,Undirected,Strangelove,4
Boy,Undirected,Swain-wit,4
Charissa,Undirected,Cit-wit,2
Charissa,Undirected,Court-wit,1
Charissa,Undirected,Dainty,1
Charissa,Undirected,Doctor,1
Charissa,Undirected,Ferdinand,1
Charissa,Undirected,Frederick,3
Charissa,Undirected,Gabriel,2
Charissa,Undirected,Mendicant,3
Charissa,Undirected,Philomel,1
Charissa,Undirected,Projector1,2
Charissa,Undirected,Projector2,2
Charissa,Undirected,Projector3,1
Charissa,Undirected,Raphael,2
Charissa,Undirected,Strangelove,1
Charissa,Undirected,Swain-wit,1
Cit-wit,Undirected,Court-wit,5
Cit-wit,Undirected,Dainty,4
Cit-wit,Undirected,Doctor,3
Cit-wit,Undirected,Ferdinand,4
Cit-wit,Undirected,Frederick,2
Cit-wit,Undirected,Gabriel,1
Cit-wit,Undirected,Mendicant,3
Cit-wit,Undirected,Philomel,5
Cit-wit,Undirected,Projector1,1
Cit-wit,Undirected,Projector2,1
Cit-wit,Undirected,Raphael,3
Cit-wit,Undirected,Strangelove,5
Cit-wit,Undirected,Swain-wit,6
Court-wit,Undirected,Dainty,4
Court-wit,Undirected,Doctor,3
Court-wit,Undirected,Ferdinand,3
Court-wit,Undirected,Frederick,1
Court-wit,Undirected,Mendicant,2
Court-wit,Undirected,Philomel,4
Court-wit,Undirected,Projector1,1
Court-wit,Undirected,Projector2,1
Court-wit,Undirected,Raphael,2
Court-wit,Undirected,Strangelove,4
Court-wit,Undirected,Swain-wit,5
Dainty,Undirected,Doctor,2
Dainty,Undirected,Ferdinand,2
Dainty,Undirected,Frederick,1
Dainty,Undirected,Mendicant,2
Dainty,Undirected,Philomel,4
Dainty,Undirected,Projector1,1
Dainty,Undirected,Projector2,1
Dainty,Undirected,Raphael,2
Dainty,Undirected,Strangelove,3
Dainty,Undirected,Swain-wit,4
Doctor,Undirected,Ferdinand,5
Doctor,Undirected,Frederick,2
Doctor,Undirected,Gabriel,1
Doctor,Undirected,Mendicant,2
Doctor,Undirected,Philomel,3
Doctor,Undirected,Projector1,1
Doctor,Undirected,Projector2,1
Doctor,Undirected,Raphael,2
Doctor,Undirected,Servant,2
Doctor,Undirected,Strangelove,5
Doctor,Undirected,Swain-wit,3
Ferdinand,Undirected,Frederick,2
Ferdinand,Undirected,Gabriel,1
Ferdinand,Undirected,Mendicant,2
Ferdinand,Undirected,Philomel,4
Ferdinand,Undirected,Projector1,1
Ferdinand,Undirected,Projector2,1
Ferdinand,Undirected,Raphael,2
Ferdinand,Undirected,Servant,2
Ferdinand,Undirected,Strangelove,6
Ferdinand,Undirected,Swain-wit,4
Frederick,Undirected,Gabriel,3
Frederick,Undirected,Mendicant,3
Frederick,Undirected,Philomel,1
Frederick,Undirected,Projector1,2
Frederick,Undirected,Projector2,2
Frederick,Undirected,Projector3,1
Frederick,Undirected,Raphael,2
Frederick,Undirected,Servant,1
Frederick,Undirected,Strangelove,2
Frederick,Undirected,Swain-wit,1
Gabriel,Undirected,Mendicant,2
Gabriel,Undirected,Projector1,1
Gabriel,Undirected,Projector2,1
Gabriel,Undirected,Projector3,1
Gabriel,Undirected,Raphael,1
Gabriel,Undirected,Servant,1
Gabriel,Undirected,Strangelove,1
Mendicant,Undirected,Philomel,3
Mendicant,Undirected,Projector1,2
Mendicant,Undirected,Projector2,2
Mendicant,Undirected,Projector3,1
Mendicant,Undirected,Raphael,4
Mendicant,Undirected,Servant,1
Mendicant,Undirected,Strangelove,3
Mendicant,Undirected,Swain-wit,2
Philomel,Undirected,Projector1,1
Philomel,Undirected,Projector2,1
Philomel,Undirected,Raphael,3
Philomel,Undirected,Servant,1
Philomel,Undirected,Strangelove,5
Philomel,Undirected,Swain-wit,5
Projector1,Undirected,Projector2,2
Projector1,Undirected,Projector3,1
Projector1,Undirected,Raphael,1
Projector1,Undirected,Strangelove,1
Projector1,Undirected,Swain-wit,1
Projector2,Undirected,Projector3,1
Projector2,Undirected,Raphael,1
Projector2,Undirected,Strangelove,1
Projector2,Undirected,Swain-wit,1
Raphael,Undirected,Servant,1
Raphael,Undirected,Strangelove,3
Raphael,Undirected,Swain-wit,2
Servant,Undirected,Strangelove,2
Strangelove,Undirected,Swain-wit,5
