Source,Type,Target,Weight
Alice,Undirected,Ambrose,2
Alice,Undirected,Amphilus,1
Alice,Undirected,Brookall,1
Alice,Undirected,Bumpsey,1
Alice,Undirected,Dryground,3
Alice,Undirected,Eleanor,1
Alice,Undirected,First_Servant,1
Alice,Undirected,Frances,2
Alice,Undirected,Jane,1
Alice,Undirected,Magdalen,1
Alice,Undirected,Oliver,2
Alice,Undirected,Sergeants,1
Alice,Undirected,Valentine,1
Alice,Undirected,Vermin,2
Alice,Undirected,Wat,3
Ambrose,Undirected,Amphilus,3
Ambrose,Undirected,Attorney,1
Ambrose,Undirected,Brookall,3
Ambrose,Undirected,Bumpsey,2
Ambrose,Undirected,Dryground,2
Ambrose,Undirected,Eleanor,1
Ambrose,Undirected,First_Servant,1
Ambrose,Undirected,Frances,2
Ambrose,Undirected,Friendly,1
Ambrose,Undirected,Jane,1
Ambrose,Undirected,Magdalen,1
Ambrose,Undirected,Member_of_Rabble,1
Ambrose,Undirected,Oliver,4
Ambrose,Undirected,Phyllis,2
Ambrose,Undirected,Rabble,1
Ambrose,Undirected,Sergeants,1
Ambrose,Undirected,Trebasco,1
Ambrose,Undirected,Valentine,3
Ambrose,Undirected,Vermin,3
Ambrose,Undirected,Wat,3
Amphilus,Undirected,Attorney,1
Amphilus,Undirected,Brookall,3
Amphilus,Undirected,Bumpsey,3
Amphilus,Undirected,Dryground,1
Amphilus,Undirected,Eleanor,1
Amphilus,Undirected,First_Servant,1
Amphilus,Undirected,Frances,1
Amphilus,Undirected,Friendly,1
Amphilus,Undirected,Jane,2
Amphilus,Undirected,Magdalen,2
Amphilus,Undirected,Member_of_Rabble,1
Amphilus,Undirected,Oliver,3
Amphilus,Undirected,Phyllis,2
Amphilus,Undirected,Rabble,1
Amphilus,Undirected,Second_Servant,1
Amphilus,Undirected,Sergeants,1
Amphilus,Undirected,Trebasco,2
Amphilus,Undirected,Valentine,3
Amphilus,Undirected,Vermin,4
Amphilus,Undirected,Wat,2
Attorney,Undirected,Brookall,1
Attorney,Undirected,First_Servant,1
Attorney,Undirected,Friendly,1
Attorney,Undirected,Oliver,1
Attorney,Undirected,Phyllis,1
Attorney,Undirected,Trebasco,1
Attorney,Undirected,Valentine,1
Attorney,Undirected,Vermin,1
Brookall,Undirected,Bumpsey,2
Brookall,Undirected,Dryground,1
Brookall,Undirected,Eleanor,1
Brookall,Undirected,First_Servant,1
Brookall,Undirected,Frances,1
Brookall,Undirected,Friendly,1
Brookall,Undirected,Jane,1
Brookall,Undirected,Magdalen,1
Brookall,Undirected,Member_of_Rabble,1
Brookall,Undirected,Oliver,3
Brookall,Undirected,Phyllis,3
Brookall,Undirected,Rabble,1
Brookall,Undirected,Sergeants,1
Brookall,Undirected,Trebasco,1
Brookall,Undirected,Valentine,4
Brookall,Undirected,Vermin,3
Brookall,Undirected,Wat,2
Bumpsey,Undirected,Dryground,2
Bumpsey,Undirected,Eleanor,1
Bumpsey,Undirected,Frances,1
Bumpsey,Undirected,Jane,3
Bumpsey,Undirected,Magdalen,3
Bumpsey,Undirected,Member_of_Rabble,1
Bumpsey,Undirected,Oliver,2
Bumpsey,Undirected,Phyllis,1
Bumpsey,Undirected,Rabble,1
Bumpsey,Undirected,Second_Servant,1
Bumpsey,Undirected,Sergeants,1
Bumpsey,Undirected,Trebasco,1
Bumpsey,Undirected,Valentine,3
Bumpsey,Undirected,Vermin,3
Bumpsey,Undirected,Wat,2
Dryground,Undirected,Eleanor,1
Dryground,Undirected,First_Servant,1
Dryground,Undirected,Frances,2
Dryground,Undirected,Jane,2
Dryground,Undirected,Magdalen,2
Dryground,Undirected,Oliver,2
Dryground,Undirected,Sergeants,1
Dryground,Undirected,Valentine,2
Dryground,Undirected,Vermin,2
Dryground,Undirected,Wat,3
Eleanor,Undirected,Frances,1
Eleanor,Undirected,Jane,1
Eleanor,Undirected,Magdalen,1
Eleanor,Undirected,Oliver,1
Eleanor,Undirected,Sergeants,1
Eleanor,Undirected,Valentine,1
Eleanor,Undirected,Vermin,1
Eleanor,Undirected,Wat,1
First_Servant,Undirected,Friendly,1
First_Servant,Undirected,Oliver,1
First_Servant,Undirected,Phyllis,1
First_Servant,Undirected,Trebasco,1
First_Servant,Undirected,Valentine,1
First_Servant,Undirected,Vermin,2
First_Servant,Undirected,Wat,1
Frances,Undirected,Jane,1
Frances,Undirected,Magdalen,1
Frances,Undirected,Oliver,2
Frances,Undirected,Sergeants,1
Frances,Undirected,Valentine,1
Frances,Undirected,Vermin,1
Frances,Undirected,Wat,2
Friendly,Undirected,Oliver,1
Friendly,Undirected,Phyllis,1
Friendly,Undirected,Trebasco,1
Friendly,Undirected,Valentine,1
Friendly,Undirected,Vermin,1
Jane,Undirected,Magdalen,3
Jane,Undirected,Oliver,1
Jane,Undirected,Second_Servant,1
Jane,Undirected,Sergeants,1
Jane,Undirected,Trebasco,1
Jane,Undirected,Valentine,2
Jane,Undirected,Vermin,2
Jane,Undirected,Wat,1
Magdalen,Undirected,Oliver,1
Magdalen,Undirected,Second_Servant,1
Magdalen,Undirected,Sergeants,1
