Source,Type,Target,Weight
A_Drinker_within,Undirected,Boy,1
A_Drinker_within,Undirected,Buzzard,1
A_Drinker_within,Undirected,Edmund,1
A_Drinker_within,Undirected,Nathaniel,1
A_Drinker_within,Undirected,Vincent,1
Arnold,Undirected,Arthur,2
Arnold,Undirected,Buzzard,2
Arnold,Undirected,Edmund,4
Arnold,Undirected,Inductor,1
Arnold,Undirected,Lucy,2
Arnold,Undirected,Meanwell,1
Arnold,Undirected,Millicent,1
Arnold,Undirected,Nathaniel,5
Arnold,Undirected,Phillis,4
Arnold,Undirected,Quicksands,2
Arnold,Undirected,Rashley,1
Arnold,Undirected,Testy,2
Arnold,Undirected,Theophilus,3
Arnold,Undirected,Vincent,4
Arnold,Undirected,Winloss,1
Arthur,Undirected,Dionysia,3
Arthur,Undirected,Edmund,3
Arthur,Undirected,Lucy,2
Arthur,Undirected,Meanwell,1
Arthur,Undirected,Millicent,2
Arthur,Undirected,Nathaniel,3
Arthur,Undirected,Page,1
Arthur,Undirected,Phillis,2
Arthur,Undirected,Quicksands,1
Arthur,Undirected,Rafe,2
Arthur,Undirected,Rashley,1
Arthur,Undirected,Testy,1
Arthur,Undirected,Theophilus,3
Arthur,Undirected,Vincent,3
Boy,Undirected,Buzzard,1
Boy,Undirected,Edmund,1
Boy,Undirected,Nathaniel,1
Boy,Undirected,Vincent,1
Buzzard,Undirected,Edmund,3
Buzzard,Undirected,Inductor,1
Buzzard,Undirected,Madge,1
Buzzard,Undirected,Meanwell,1
Buzzard,Undirected,Mercury,1
Buzzard,Undirected,Millicent,4
Buzzard,Undirected,Nathaniel,3
Buzzard,Undirected,Phillis,3
Buzzard,Undirected,Quicksands,5
Buzzard,Undirected,Rashley,1
Buzzard,Undirected,Testy,4
Buzzard,Undirected,Vincent,3
Buzzard,Undirected,Winloss,1
Dionysia,Undirected,Lucy,2
Dionysia,Undirected,Meanwell,1
Dionysia,Undirected,Millicent,1
Dionysia,Undirected,Page,2
Dionysia,Undirected,Rafe,3
Dionysia,Undirected,Rashley,1
Dionysia,Undirected,Theophilus,2
Edmund,Undirected,Inductor,1
Edmund,Undirected,Lucy,1
Edmund,Undirected,Meanwell,1
Edmund,Undirected,Millicent,3
Edmund,Undirected,Nathaniel,7
Edmund,Undirected,Phillis,4
Edmund,Undirected,Quicksands,4
Edmund,Undirected,Rashley,1
Edmund,Undirected,Testy,3
Edmund,Undirected,Theophilus,2
Edmund,Undirected,Vincent,7
Edmund,Undirected,Winloss,1
Host,Undirected,Meanwell,1
Host,Undirected,Rafe,1
Host,Undirected,Rashley,1
Host,Undirected,Winloss,1
Inductor,Undirected,Nathaniel,1
Inductor,Undirected,Phillis,1
Inductor,Undirected,Quicksands,1
Inductor,Undirected,Testy,1
Inductor,Undirected,Vincent,1
Lucy,Undirected,Meanwell,1
Lucy,Undirected,Millicent,1
Lucy,Undirected,Nathaniel,2
Lucy,Undirected,Page,2
Lucy,Undirected,Phillis,1
Lucy,Undirected,Rashley,1
Lucy,Undirected,Theophilus,4
Lucy,Undirected,Vincent,1
Madge,Undirected,Millicent,1
Madge,Undirected,Phillis,1
Madge,Undirected,Quicksands,1
Meanwell,Undirected,Millicent,2
Meanwell,Undirected,Nathaniel,1
Meanwell,Undirected,Page,1
Meanwell,Undirected,Phillis,1
Meanwell,Undirected,Quicksands,1
Meanwell,Undirected,Rafe,1
Meanwell,Undirected,Rashley,3
Meanwell,Undirected,Testy,1
Meanwell,Undirected,Theophilus,1
Meanwell,Undirected,Vincent,1
Meanwell,Undirected,Winloss,2
Mercury,Undirected,Millicent,1
Mercury,Undirected,Quicksands,1
Mercury,Undirected,Testy,1
Millicent,Undirected,Nathaniel,3
Millicent,Undirected,Page,1
Millicent,Undirected,Phillis,3
Millicent,Undirected,Quicksands,6
Millicent,Undirected,Rashley,2
Millicent,Undirected,Testy,4
Millicent,Undirected,Theophilus,1
Millicent,Undirected,Vincent,3
Millicent,Undirected,Winloss,1
Nathaniel,Undirected,Phillis,5
Nathaniel,Undirected,Quicksands,4
Nathaniel,Undirected,Rashley,1
Nathaniel,Undirected,Testy,3
Nathaniel,Undirected,Theophilus,3
Nathaniel,Undirected,Vincent,7
Nathaniel,Undirected,Winloss,1
Page,Undirected,Rashley,1
Page,Undirected,Theophilus,2
Phillis,Undirected,Quicksands,4
Phillis,Undirected,Rashley,1
Phillis,Undirected,Testy,3
Phillis,Undirected,Theophilus,2
Phillis,Undirected,Vincent,4
Phillis,Undirected,Winloss,1
Quicksands,Undirected,Rashley,1
Quicksands,Undirected,Testy,5
Quicksands,Undirected,Vincent,4
Quicksands,Undirected,Winloss,1
Rafe,Undirected,Rashley,1
Rafe,Undirected,Winloss,1
Rashley,Undirected,Testy,1
Rashley,Undirected,Theophilus,1
Rashley,Undirected,Vincent,1
Rashley,Undirected,Winloss,2
Testy,Undirected,Vincent,3
Testy,Undirected,Winloss,1
Theophilus,Undirected,Vincent,2
Vincent,Undirected,Winloss,1
