Source,Type,Target,Weight
Arthur,Undirected,Bantam,8
Arthur,Undirected,Boy,1
Arthur,Undirected,Doughty,4
Arthur,Undirected,Fiddler,1
Arthur,Undirected,Generous,5
Arthur,Undirected,Gill,1
Arthur,Undirected,Goody_Dickieson,1
Arthur,Undirected,Gregory,3
Arthur,Undirected,Joan,3
Arthur,Undirected,Lawrence,4
Arthur,Undirected,Mall,4
Arthur,Undirected,Maud,1
Arthur,Undirected,Meg,1
Arthur,Undirected,Miller,2
Arthur,Undirected,Mistress_Generous,3
Arthur,Undirected,Parnell,4
Arthur,Undirected,Rabble,1
Arthur,Undirected,Robin,3
Arthur,Undirected,Seely,3
Arthur,Undirected,Shakestone,8
Arthur,Undirected,Soldier,3
Arthur,Undirected,Whetstone,8
Arthur,Undirected,Winny,3
Bantam,Undirected,Boy,1
Bantam,Undirected,Doughty,4
Bantam,Undirected,Fiddler,1
Bantam,Undirected,Generous,3
Bantam,Undirected,Gill,1
Bantam,Undirected,Goody_Dickieson,1
Bantam,Undirected,Gregory,3
Bantam,Undirected,Joan,3
Bantam,Undirected,Lawrence,4
Bantam,Undirected,Mall,3
Bantam,Undirected,Maud,1
Bantam,Undirected,Meg,1
Bantam,Undirected,Miller,2
Bantam,Undirected,Mistress_Generous,2
Bantam,Undirected,Parnell,4
Bantam,Undirected,Rabble,1
Bantam,Undirected,Robin,2
Bantam,Undirected,Seely,3
Bantam,Undirected,Shakestone,8
Bantam,Undirected,Soldier,2
Bantam,Undirected,Whetstone,7
Bantam,Undirected,Winny,3
Boy,Undirected,Doughty,2
Boy,Undirected,Generous,1
Boy,Undirected,Gill,1
Boy,Undirected,Goody_Dickieson,3
Boy,Undirected,Gregory,1
Boy,Undirected,Joan,1
Boy,Undirected,Lawrence,1
Boy,Undirected,Mall,2
Boy,Undirected,Maud,2
Boy,Undirected,Meg,2
Boy,Undirected,Miller,2
Boy,Undirected,Mistress_Generous,2
Boy,Undirected,Parnell,1
Boy,Undirected,Robin,2
