Source,Type,Target,Weight
Disanius,Undirected,Doris,1
Disanius,Undirected,Eudina,2
Disanius,Undirected,Eupathus,4
Disanius,Undirected,Garrula,3
Disanius,Undirected,Geron,2
Disanius,Undirected,Justinius,5
Disanius,Undirected,King,4
Disanius,Undirected,Matho,1
Disanius,Undirected,Philargus,3
Disanius,Undirected,Philocles,3
Disanius,Undirected,Placilla,2
Disanius,Undirected,Rustic_1,2
Disanius,Undirected,Rustic_2,2
Disanius,Undirected,Rustic_3,2
Disanius,Undirected,Rustic_4,2
Disanius,Undirected,Stratocles,3
Disanius,Undirected,Tersulus,2
Disanius,Undirected,Thymele,3
Disanius,Undirected,Varillus,2
Doris,Undirected,Eudina,2
Doris,Undirected,Eupathus,1
Doris,Undirected,Garrula,2
Doris,Undirected,Geron,3
Doris,Undirected,Justinius,1
Doris,Undirected,King,2
Doris,Undirected,Matho,1
Doris,Undirected,Philargus,2
Doris,Undirected,Philocles,2
Doris,Undirected,Placilla,2
Doris,Undirected,Rustic_1,1
Doris,Undirected,Rustic_2,1
Doris,Undirected,Rustic_3,1
Doris,Undirected,Rustic_4,1
Doris,Undirected,Stratocles,1
Doris,Undirected,Tersulus,3
Doris,Undirected,Thymele,3
Doris,Undirected,Varillus,3
Eudina,Undirected,Eupathus,1
Eudina,Undirected,Garrula,2
Eudina,Undirected,Geron,2
Eudina,Undirected,Justinius,2
Eudina,Undirected,King,2
Eudina,Undirected,Matho,3
Eudina,Undirected,Philargus,5
Eudina,Undirected,Philocles,5
Eudina,Undirected,Placilla,4
Eudina,Undirected,Rustic_1,2
Eudina,Undirected,Rustic_2,2
Eudina,Undirected,Rustic_3,2
Eudina,Undirected,Rustic_4,1
Eudina,Undirected,Soldiers,1
Eudina,Undirected,Stratocles,2
Eudina,Undirected,Tersulus,2
Eudina,Undirected,Thymele,4
Eudina,Undirected,Varillus,2
Eupathus,Undirected,Garrula,2
Eupathus,Undirected,Geron,1
Eupathus,Undirected,Justinius,3
Eupathus,Undirected,King,3
Eupathus,Undirected,Philargus,2
Eupathus,Undirected,Philocles,2
Eupathus,Undirected,Placilla,1
Eupathus,Undirected,Rustic_1,2
Eupathus,Undirected,Rustic_2,2
Eupathus,Undirected,Rustic_3,2
Eupathus,Undirected,Rustic_4,2
Eupathus,Undirected,Stratocles,2
Eupathus,Undirected,Tersulus,2
Eupathus,Undirected,Thymele,2
Eupathus,Undirected,Varillus,2
Garrula,Undirected,Geron,3
Garrula,Undirected,Justinius,3
Garrula,Undirected,King,2
Garrula,Undirected,Philargus,2
Garrula,Undirected,Philocles,2
Garrula,Undirected,Placilla,2
Garrula,Undirected,Rustic_1,1
Garrula,Undirected,Rustic_2,1
Garrula,Undirected,Rustic_3,1
Garrula,Undirected,Rustic_4,1
Garrula,Undirected,Stratocles,1
Garrula,Undirected,Tersulus,1
Garrula,Undirected,Thymele,4
Garrula,Undirected,Varillus,1
Geron,Undirected,Justinius,2
Geron,Undirected,King,1
Geron,Undirected,Philargus,2
Geron,Undirected,Philocles,2
Geron,Undirected,Placilla,2
Geron,Undirected,Rustic_1,2
Geron,Undirected,Rustic_2,2
Geron,Undirected,Rustic_3,2
Geron,Undirected,Rustic_4,2
Geron,Undirected,Stratocles,1
Geron,Undirected,Tersulus,2
Geron,Undirected,Thymele,3
Geron,Undirected,Varillus,2
Justinius,Undirected,King,4
Justinius,Undirected,Matho,1
Justinius,Undirected,Philargus,2
Justinius,Undirected,Philocles,2
Justinius,Undirected,Placilla,2
Justinius,Undirected,Rustic_1,2
Justinius,Undirected,Rustic_2,2
Justinius,Undirected,Rustic_3,2
Justinius,Undirected,Rustic_4,2
Justinius,Undirected,Stratocles,3
Justinius,Undirected,Tersulus,1
Justinius,Undirected,Thymele,3
Justinius,Undirected,Varillus,1
King,Undirected,Matho,2
King,Undirected,Philargus,2
King,Undirected,Philocles,2
King,Undirected,Placilla,2
King,Undirected,Rustic_1,2
King,Undirected,Rustic_2,2
King,Undirected,Rustic_3,2
King,Undirected,Rustic_4,2
King,Undirected,Stratocles,3
King,Undirected,Tersulus,2
King,Undirected,Thymele,3
King,Undirected,Varillus,2
Matho,Undirected,Philargus,3
Matho,Undirected,Philocles,3
Matho,Undirected,Placilla,2
Matho,Undirected,Rustic_1,1
Matho,Undirected,Rustic_2,1
Matho,Undirected,Rustic_3,1
Matho,Undirected,Soldiers,1
