Source,Type,Target,Weight
Blith,Undirected,Camelion,2
Blith,Undirected,Cash,2
Blith,Undirected,Ephraim,3
Blith,Undirected,Erasmus,2
Blith,Undirected,Gabriella,2
Blith,Undirected,Galliard,2
Blith,Undirected,Hannah,2
Blith,Undirected,Hardyman,1
Blith,Undirected,Joyce,2
Blith,Undirected,Lady_Nestlecock,4
Blith,Undirected,Lafoy,1
Blith,Undirected,Matchil,2
Blith,Undirected,Nehemiah,4
Blith,Undirected,Papillion,2
Blith,Undirected,Rachel,3
Blith,Undirected,Strigood,2
Blith,Undirected,Valentine,2
Blith,Undirected,Whimlby,4
Camelion,Undirected,Cash,3
Camelion,Undirected,Ephraim,1
Camelion,Undirected,Erasmus,3
Camelion,Undirected,Footpost,1
Camelion,Undirected,Gabriella,3
Camelion,Undirected,Galliard,3
Camelion,Undirected,Hannah,4
Camelion,Undirected,Hardyman,1
Camelion,Undirected,Joyce,3
Camelion,Undirected,Lady_Nestlecock,2
Camelion,Undirected,Lafoy,1
Camelion,Undirected,Matchil,1
Camelion,Undirected,Nehemiah,2
Camelion,Undirected,Papillion,3
Camelion,Undirected,Rachel,2
Camelion,Undirected,Strigood,3
Camelion,Undirected,Valentine,3
Camelion,Undirected,Whimlby,2
Cash,Undirected,Ephraim,2
Cash,Undirected,Erasmus,3
Cash,Undirected,Gabriella,4
Cash,Undirected,Galliard,3
Cash,Undirected,Hannah,3
Cash,Undirected,Hardyman,2
Cash,Undirected,Joyce,4
Cash,Undirected,Lady_Nestlecock,3
Cash,Undirected,Lafoy,2
Cash,Undirected,Matchil,3
Cash,Undirected,Nehemiah,2
Cash,Undirected,Papillion,3
Cash,Undirected,Rachel,3
Cash,Undirected,Servant,1
Cash,Undirected,Strigood,4
Cash,Undirected,Valentine,3
Cash,Undirected,Whimlby,2
Ephraim,Undirected,Erasmus,2
Ephraim,Undirected,Gabriella,2
Ephraim,Undirected,Galliard,1
Ephraim,Undirected,Hannah,1
Ephraim,Undirected,Hardyman,1
Ephraim,Undirected,Joyce,2
Ephraim,Undirected,Lady_Nestlecock,4
Ephraim,Undirected,Lafoy,1
Ephraim,Undirected,Matchil,3
Ephraim,Undirected,Nehemiah,3
Ephraim,Undirected,Papillion,1
Ephraim,Undirected,Rachel,3
Ephraim,Undirected,Strigood,2
Ephraim,Undirected,Valentine,2
Ephraim,Undirected,Whimlby,3
Erasmus,Undirected,Footpost,1
Erasmus,Undirected,Gabriella,3
Erasmus,Undirected,Galliard,2
Erasmus,Undirected,Hannah,3
Erasmus,Undirected,Hardyman,1
Erasmus,Undirected,Joyce,3
Erasmus,Undirected,Lady_Nestlecock,3
Erasmus,Undirected,Lafoy,1
Erasmus,Undirected,Matchil,3
Erasmus,Undirected,Nehemiah,2
Erasmus,Undirected,Papillion,2
Erasmus,Undirected,Rachel,4
Erasmus,Undirected,Servant,1
Erasmus,Undirected,Strigood,3
Erasmus,Undirected,Valentine,5
Erasmus,Undirected,Whimlby,2
Footpost,Undirected,Hannah,1
Footpost,Undirected,Valentine,1
Gabriella,Undirected,Galliard,3
Gabriella,Undirected,Hannah,3
