Source,Type,Target,Weight
Anvil,Undirected,Beavis,4
Anvil,Undirected,Bulfinch,4
Anvil,Undirected,Clerk,1
Anvil,Undirected,Constance,2
Anvil,Undirected,Fitchow,4
Anvil,Undirected,Flaps,1
Anvil,Undirected,Holdup,2
Anvil,Undirected,Howdee,5
Anvil,Undirected,Luckless,5
Anvil,Undirected,Nonsense,2
Anvil,Undirected,Pate,3
Anvil,Undirected,Squelch,3
Anvil,Undirected,Trainwell,4
Anvil,Undirected,Triedwell,7
Anvil,Undirected,Vexhem,1
Anvil,Undirected,Wigeon,8
Beavis,Undirected,Bulfinch,2
Beavis,Undirected,Clerk,2
Beavis,Undirected,Constance,3
Beavis,Undirected,Fitchow,1
Beavis,Undirected,Holdup,1
Beavis,Undirected,Howdee,2
Beavis,Undirected,Luckless,3
Beavis,Undirected,Nonsense,3
Beavis,Undirected,Pate,3
Beavis,Undirected,Squelch,3
Beavis,Undirected,Trainwell,4
Beavis,Undirected,Triedwell,3
Beavis,Undirected,Vexhem,1
Beavis,Undirected,Wigeon,3
Bulfinch,Undirected,Clerk,1
Bulfinch,Undirected,Constance,1
Bulfinch,Undirected,Fitchow,3
Bulfinch,Undirected,Holdup,1
Bulfinch,Undirected,Howdee,3
Bulfinch,Undirected,Luckless,3
Bulfinch,Undirected,Nonsense,2
Bulfinch,Undirected,Pate,2
Bulfinch,Undirected,Squelch,2
Bulfinch,Undirected,Trainwell,1
Bulfinch,Undirected,Triedwell,3
Bulfinch,Undirected,Vexhem,1
Bulfinch,Undirected,Wigeon,4
Clerk,Undirected,Constance,2
Clerk,Undirected,Holdup,2
Clerk,Undirected,Howdee,2
Clerk,Undirected,Luckless,2
Clerk,Undirected,Nonsense,2
Clerk,Undirected,Pate,2
Clerk,Undirected,Squelch,4
Clerk,Undirected,Trainwell,3
Clerk,Undirected,Triedwell,1
Clerk,Undirected,Vexhem,2
Clerk,Undirected,Wigeon,1
Constance,Undirected,Fitchow,1
Constance,Undirected,Howdee,1
Constance,Undirected,Luckless,2
Constance,Undirected,Nonsense,2
Constance,Undirected,Pate,2
Constance,Undirected,Squelch,3
Constance,Undirected,Trainwell,3
Constance,Undirected,Triedwell,1
Constance,Undirected,Wigeon,1
Fitchow,Undirected,Flaps,1
Fitchow,Undirected,Holdup,1
Fitchow,Undirected,Howdee,5
Fitchow,Undirected,Luckless,2
Fitchow,Undirected,Nonsense,1
Fitchow,Undirected,Pate,1
Fitchow,Undirected,Squelch,2
Fitchow,Undirected,Triedwell,4
Fitchow,Undirected,Wigeon,5
Flaps,Undirected,Howdee,1
Flaps,Undirected,Wigeon,1
Holdup,Undirected,Howdee,4
Holdup,Undirected,Luckless,1
Holdup,Undirected,Nonsense,1
Holdup,Undirected,Pate,1
Holdup,Undirected,Squelch,4
Holdup,Undirected,Trainwell,2
Holdup,Undirected,Triedwell,3
Holdup,Undirected,Vexhem,2
Holdup,Undirected,Wigeon,3
Howdee,Undirected,Luckless,3
Howdee,Undirected,Nonsense,2
Howdee,Undirected,Pate,2
Howdee,Undirected,Squelch,5
Howdee,Undirected,Trainwell,2
Howdee,Undirected,Triedwell,5
Howdee,Undirected,Vexhem,2
Howdee,Undirected,Wigeon,6
Luckless,Undirected,Nonsense,2
Luckless,Undirected,Pate,4
Luckless,Undirected,Squelch,3
Luckless,Undirected,Trainwell,3
Luckless,Undirected,Triedwell,4
Luckless,Undirected,Vexhem,1
Luckless,Undirected,Wigeon,5
Nonsense,Undirected,Pate,2
Nonsense,Undirected,Squelch,3
Nonsense,Undirected,Trainwell,2
Nonsense,Undirected,Triedwell,1
Nonsense,Undirected,Vexhem,1
Nonsense,Undirected,Wigeon,2
Pate,Undirected,Squelch,3
Pate,Undirected,Trainwell,3
Pate,Undirected,Triedwell,2
Pate,Undirected,Vexhem,1
Pate,Undirected,Wigeon,3
Squelch,Undirected,Trainwell,4
Squelch,Undirected,Triedwell,3
Squelch,Undirected,Vexhem,2
Squelch,Undirected,Wigeon,4
Trainwell,Undirected,Triedwell,4
Trainwell,Undirected,Vexhem,1
Trainwell,Undirected,Wigeon,3
Triedwell,Undirected,Vexhem,1
Triedwell,Undirected,Wigeon,7
Vexhem,Undirected,Wigeon,1
