Source,Type,Target,Weight
Astutta,Undirected,Borgio,1
Astutta,Undirected,Chequino,1
Astutta,Undirected,Fabritio,1
Astutta,Undirected,Flavia,3
Astutta,Undirected,Francisco,2
Astutta,Undirected,Guadagni,3
Astutta,Undirected,Horatio,1
Astutta,Undirected,Jacconetta,1
Astutta,Undirected,Nanulo,2
Astutta,Undirected,Nicolo,2
Astutta,Undirected,Pantaloni,2
Astutta,Undirected,Pedlar_Woman,2
Astutta,Undirected,Pedro,1
Astutta,Undirected,Piso,1
Astutta,Undirected,Prospero,1
Astutta,Undirected,Swatzenburgh,1
Astutta,Undirected,Victoria,1
Astutta,Undirected,Zaffi,1
Borgio,Undirected,Fabritio,2
Borgio,Undirected,Flavia,1
Borgio,Undirected,Francisco,1
Borgio,Undirected,Guadagni,1
Borgio,Undirected,Horatio,3
Borgio,Undirected,Jacconetta,3
Borgio,Undirected,Nicolo,2
Borgio,Undirected,Pantaloni,1
Borgio,Undirected,Pedlar_Woman,1
Borgio,Undirected,Pedro,2
Borgio,Undirected,Piso,3
Borgio,Undirected,Swatzenburgh,2
Borgio,Undirected,Victoria,3
Chequino,Undirected,Flavia,1
Chequino,Undirected,Francisco,1
Chequino,Undirected,Guadagni,1
Chequino,Undirected,Nanulo,1
Chequino,Undirected,Nicolo,1
Chequino,Undirected,Pantaloni,1
Chequino,Undirected,Pedlar_Woman,1
Chequino,Undirected,Prospero,1
Chequino,Undirected,Zaffi,1
Fabritio,Undirected,Flavia,1
Fabritio,Undirected,Francisco,3
Fabritio,Undirected,Guadagni,2
Fabritio,Undirected,Horatio,4
Fabritio,Undirected,Jacconetta,1
Fabritio,Undirected,Nicolo,3
Fabritio,Undirected,Pantaloni,2
Fabritio,Undirected,Pedlar_Woman,1
Fabritio,Undirected,Pedro,1
Fabritio,Undirected,Piso,4
Fabritio,Undirected,Swatzenburgh,1
Fabritio,Undirected,Victoria,1
Flavia,Undirected,Francisco,2
Flavia,Undirected,Guadagni,3
Flavia,Undirected,Horatio,1
Flavia,Undirected,Jacconetta,1
Flavia,Undirected,Nanulo,2
Flavia,Undirected,Nicolo,2
Flavia,Undirected,Pantaloni,2
Flavia,Undirected,Pedlar_Woman,2
Flavia,Undirected,Pedro,1
Flavia,Undirected,Piso,1
Flavia,Undirected,Prospero,1
Flavia,Undirected,Swatzenburgh,1
Flavia,Undirected,Victoria,1
Flavia,Undirected,Zaffi,1
Francisco,Undirected,Guadagni,3
Francisco,Undirected,Horatio,3
Francisco,Undirected,Jacconetta,1
Francisco,Undirected,Nanulo,1
Francisco,Undirected,Nicolo,3
Francisco,Undirected,Pantaloni,3
Francisco,Undirected,Pedlar_Woman,2
Francisco,Undirected,Pedro,1
Francisco,Undirected,Piso,3
Francisco,Undirected,Prospero,1
Francisco,Undirected,Swatzenburgh,1
Francisco,Undirected,Victoria,1
Francisco,Undirected,Zaffi,1
Guadagni,Undirected,Horatio,2
Guadagni,Undirected,Jacconetta,1
Guadagni,Undirected,Nanulo,2
Guadagni,Undirected,Nicolo,3
Guadagni,Undirected,Pantaloni,3
Guadagni,Undirected,Pedlar_Woman,2
Guadagni,Undirected,Pedro,1
Guadagni,Undirected,Piso,2
Guadagni,Undirected,Prospero,1
Guadagni,Undirected,Swatzenburgh,1
Guadagni,Undirected,Victoria,1
Guadagni,Undirected,Zaffi,1
Horatio,Undirected,Jacconetta,2
Horatio,Undirected,Nicolo,3
Horatio,Undirected,Pantaloni,2
Horatio,Undirected,Pedlar_Woman,1
Horatio,Undirected,Pedro,2
Horatio,Undirected,Piso,5
Horatio,Undirected,Swatzenburgh,2
Horatio,Undirected,Victoria,2
Jacconetta,Undirected,Nicolo,1
Jacconetta,Undirected,Pantaloni,1
Jacconetta,Undirected,Pedlar_Woman,1
Jacconetta,Undirected,Pedro,2
Jacconetta,Undirected,Piso,2
Jacconetta,Undirected,Swatzenburgh,2
Jacconetta,Undirected,Victoria,3
Nanulo,Undirected,Nicolo,1
Nanulo,Undirected,Pantaloni,1
Nanulo,Undirected,Pedlar_Woman,1
Nanulo,Undirected,Prospero,1
Nanulo,Undirected,Zaffi,1
Nicolo,Undirected,Pantaloni,3
Nicolo,Undirected,Pedlar_Woman,2
Nicolo,Undirected,Pedro,1
Nicolo,Undirected,Piso,3
Nicolo,Undirected,Prospero,1
Nicolo,Undirected,Swatzenburgh,1
Nicolo,Undirected,Victoria,1
Nicolo,Undirected,Zaffi,1
Pantaloni,Undirected,Pedlar_Woman,2
Pantaloni,Undirected,Pedro,1
Pantaloni,Undirected,Piso,2
Pantaloni,Undirected,Prospero,1
Pantaloni,Undirected,Swatzenburgh,1
Pantaloni,Undirected,Victoria,1
Pantaloni,Undirected,Zaffi,1
Pedlar_Woman,Undirected,Pedro,1
Pedlar_Woman,Undirected,Piso,1
Pedlar_Woman,Undirected,Prospero,1
Pedlar_Woman,Undirected,Swatzenburgh,1
Pedlar_Woman,Undirected,Victoria,1
Pedlar_Woman,Undirected,Zaffi,1
Pedro,Undirected,Piso,2
Pedro,Undirected,Swatzenburgh,2
Pedro,Undirected,Victoria,2
Piso,Undirected,Swatzenburgh,2
Piso,Undirected,Victoria,2
Prospero,Undirected,Zaffi,1
Swatzenburgh,Undirected,Victoria,2
