Source,Type,Target,Weight
Alinda,Undirected,Andrea,1
Alinda,Undirected,Captain,1
Alinda,Undirected,Curate,2
Alinda,Undirected,Doctor,1
Alinda,Undirected,Eulalia,4
Alinda,Undirected,Fabio,1
Alinda,Undirected,First_Girl,1
Alinda,Undirected,Flavello,6
Alinda,Undirected,Fourth_Girl,1
Alinda,Undirected,Gonzago,5
Alinda,Undirected,Horatio,6
Alinda,Undirected,King,8
Alinda,Undirected,King's_Guard,1
Alinda,Undirected,Lodovico,4
Alinda,Undirected,Midwife,1
Alinda,Undirected,Petruccio,3
Alinda,Undirected,Second_Girl,1
Alinda,Undirected,Sforza,4
Alinda,Undirected,Soldiers,2
Alinda,Undirected,Strozzo,1
Alinda,Undirected,Third_Girl,1
Andrea,Undirected,Crier,1
Andrea,Undirected,Curate,4
Andrea,Undirected,Doctor,3
Andrea,Undirected,Eulalia,5
Andrea,Undirected,Fabio,4
Andrea,Undirected,First_Countryman,3
Andrea,Undirected,First_Girl,1
Andrea,Undirected,Flavello,3
Andrea,Undirected,Fourth_Countryman,1
Andrea,Undirected,Fourth_Girl,1
Andrea,Undirected,Genius,1
Andrea,Undirected,Gonzago,1
Andrea,Undirected,Guard,1
Andrea,Undirected,Horatio,2
Andrea,Undirected,Jago,1
Andrea,Undirected,King,1
Andrea,Undirected,Lodovico,4
Andrea,Undirected,Lollio,3
Andrea,Undirected,Midwife,2
Andrea,Undirected,Pedro,2
Andrea,Undirected,Petruccio,1
Andrea,Undirected,Poggio,3
Andrea,Undirected,Rugio,1
Andrea,Undirected,Second_Countryman,3
Andrea,Undirected,Second_Girl,1
Andrea,Undirected,Sforza,1
Andrea,Undirected,Strozzo,4
Andrea,Undirected,Third_Countryman,2
Andrea,Undirected,Third_Girl,1
Captain,Undirected,Flavello,1
Captain,Undirected,King,1
Captain,Undirected,King's_Guard,1
Captain,Undirected,Sforza,1
Crier,Undirected,Curate,1
Crier,Undirected,Eulalia,1
Crier,Undirected,Fabio,1
Crier,Undirected,First_Countryman,1
Crier,Undirected,Fourth_Countryman,1
Crier,Undirected,Genius,1
Crier,Undirected,Lodovico,1
Crier,Undirected,Lollio,1
Crier,Undirected,Pedro,1
Crier,Undirected,Poggio,1
Crier,Undirected,Second_Countryman,1
Crier,Undirected,Strozzo,1
Crier,Undirected,Third_Countryman,1
Curate,Undirected,Doctor,2
Curate,Undirected,Eulalia,5
Curate,Undirected,Fabio,3
Curate,Undirected,First_Countryman,3
Curate,Undirected,First_Girl,2
Curate,Undirected,Flavello,1
Curate,Undirected,Fourth_Countryman,1
Curate,Undirected,Fourth_Girl,2
Curate,Undirected,Genius,1
Curate,Undirected,Gonzago,1
Curate,Undirected,Horatio,2
Curate,Undirected,King,2
Curate,Undirected,Lodovico,4
Curate,Undirected,Lollio,2
Curate,Undirected,Midwife,1
Curate,Undirected,Pedro,2
Curate,Undirected,Petruccio,1
Curate,Undirected,Poggio,2
Curate,Undirected,Second_Countryman,3
Curate,Undirected,Second_Girl,2
Curate,Undirected,Sforza,1
Curate,Undirected,Strozzo,3
Curate,Undirected,Third_Countryman,2
Curate,Undirected,Third_Girl,2
Doctor,Undirected,Eulalia,3
Doctor,Undirected,Fabio,3
Doctor,Undirected,First_Countryman,1
Doctor,Undirected,First_Girl,1
Doctor,Undirected,Flavello,2
Doctor,Undirected,Fourth_Girl,1
Doctor,Undirected,Gonzago,1
Doctor,Undirected,Guard,1
Doctor,Undirected,Horatio,1
Doctor,Undirected,King,1
Doctor,Undirected,Lodovico,3
Doctor,Undirected,Lollio,2
Doctor,Undirected,Midwife,2
Doctor,Undirected,Pedro,1
Doctor,Undirected,Petruccio,1
Doctor,Undirected,Poggio,2
Doctor,Undirected,Second_Countryman,1
Doctor,Undirected,Second_Girl,1
Doctor,Undirected,Sforza,1
Doctor,Undirected,Strozzo,3
Doctor,Undirected,Third_Countryman,1
Doctor,Undirected,Third_Girl,1
Eulalia,Undirected,Fabio,4
Eulalia,Undirected,First_Countryman,3
Eulalia,Undirected,First_Girl,2
Eulalia,Undirected,Flavello,3
Eulalia,Undirected,Fourth_Countryman,1
Eulalia,Undirected,Fourth_Girl,2
Eulalia,Undirected,Genius,1
Eulalia,Undirected,Gonzago,4
Eulalia,Undirected,Guard,1
Eulalia,Undirected,Horatio,5
Eulalia,Undirected,King,4
Eulalia,Undirected,Lodovico,9
Eulalia,Undirected,Lollio,4
Eulalia,Undirected,Midwife,2
Eulalia,Undirected,Pedro,3
Eulalia,Undirected,Petruccio,2
Eulalia,Undirected,Poggio,4
Eulalia,Undirected,Second_Countryman,3
Eulalia,Undirected,Second_Girl,2
Eulalia,Undirected,Sforza,2
Eulalia,Undirected,Soldiers,1
Eulalia,Undirected,Strozzo,4
Eulalia,Undirected,Third_Countryman,2
Eulalia,Undirected,Third_Girl,2
Fabio,Undirected,First_Countryman,2
Fabio,Undirected,First_Girl,1
Fabio,Undirected,Flavello,2
Fabio,Undirected,Fourth_Countryman,1
Fabio,Undirected,Fourth_Girl,1
Fabio,Undirected,Genius,1
Fabio,Undirected,Gonzago,1
Fabio,Undirected,Guard,1
Fabio,Undirected,Horatio,1
Fabio,Undirected,King,1
Fabio,Undirected,Lodovico,4
Fabio,Undirected,Lollio,3
Fabio,Undirected,Midwife,2
Fabio,Undirected,Pedro,2
Fabio,Undirected,Petruccio,1
Fabio,Undirected,Poggio,3
Fabio,Undirected,Second_Countryman,2
Fabio,Undirected,Second_Girl,1
Fabio,Undirected,Sforza,1
Fabio,Undirected,Strozzo,4
