Source,Type,Target,Weight
Alfrid,Undirected,Anthynus,1
Alfrid,Undirected,Arnold,1
Alfrid,Undirected,Clown_1,1
Alfrid,Undirected,Clown_2,1
Alfrid,Undirected,Clown_3,1
Alfrid,Undirected,Clown_4,1
Alfrid,Undirected,Constable,1
Alfrid,Undirected,Eaufrid,2
Alfrid,Undirected,Edelbert,2
Alfrid,Undirected,Edith,1
Alfrid,Undirected,Ethelswic,2
Alfrid,Undirected,Jeffrey,3
Alfrid,Undirected,Mildred,1
Alfrid,Undirected,Offa,1
Alfrid,Undirected,Osric,3
Alfrid,Undirected,Physician,2
Alfrid,Undirected,Servant,1
Alfrid,Undirected,Theodwald,2
Anthynus,Undirected,Arnold,1
Anthynus,Undirected,Bertha,1
Anthynus,Undirected,Eaufrid,2
Anthynus,Undirected,Echo,1
Anthynus,Undirected,Edelbert,2
Anthynus,Undirected,Edith,1
Anthynus,Undirected,Elkwin,1
Anthynus,Undirected,Ethelswic,1
Anthynus,Undirected,Hermit,2
Anthynus,Undirected,Jeffrey,2
Anthynus,Undirected,Keeper,1
Anthynus,Undirected,Kelric,1
Anthynus,Undirected,Mildred,2
Anthynus,Undirected,Offa,3
Anthynus,Undirected,Osric,1
Anthynus,Undirected,Outlaw_1,2
Anthynus,Undirected,Physician,1
Anthynus,Undirected,Segebert,4
Anthynus,Undirected,Servant_of_Hermit,2
Anthynus,Undirected,Theodric,2
Anthynus,Undirected,Theodwald,2
Arnold,Undirected,Bertha,1
Arnold,Undirected,Eaufrid,1
Arnold,Undirected,Edith,2
Arnold,Undirected,Elkwin,1
Arnold,Undirected,Jeffrey,1
Arnold,Undirected,Keeper,1
Arnold,Undirected,Kelric,1
Arnold,Undirected,Mildred,2
Arnold,Undirected,Offa,2
Arnold,Undirected,Osric,2
Arnold,Undirected,Outlaw_1,1
Arnold,Undirected,Segebert,1
Arnold,Undirected,Servant,1
Arnold,Undirected,Theodric,1
Arnold,Undirected,Theodwald,1
Attendant,Undirected,Eaufrid,1
Attendant,Undirected,Osric,1
Attendant,Undirected,Theodric,1
Attendant,Undirected,Theodwald,1
Bertha,Undirected,Eaufrid,1
Bertha,Undirected,Edith,1
Bertha,Undirected,Elfrid,1
Bertha,Undirected,Elkwin,2
Bertha,Undirected,Jeffrey,1
Bertha,Undirected,Keeper,1
Bertha,Undirected,Kelric,2
Bertha,Undirected,Mildred,1
Bertha,Undirected,Offa,1
Bertha,Undirected,Osric,1
Bertha,Undirected,Outlaw_1,1
Bertha,Undirected,Segebert,2
Bertha,Undirected,Theodric,2
Bertha,Undirected,Theodwald,1
Carpenter,Undirected,Edith,1
Carpenter,Undirected,Mason,1
Carpenter,Undirected,Mildred,1
Carpenter,Undirected,Offa,1
Carpenter,Undirected,Outlaw_2,1
Carpenter,Undirected,Outlaw_3,1
Carpenter,Undirected,Smith,1
Clown_1,Undirected,Clown_2,1
Clown_1,Undirected,Clown_3,1
Clown_1,Undirected,Clown_4,1
Clown_1,Undirected,Constable,1
Clown_1,Undirected,Jeffrey,1
Clown_2,Undirected,Clown_3,1
Clown_2,Undirected,Clown_4,1
Clown_2,Undirected,Constable,1
Clown_2,Undirected,Jeffrey,1
Clown_3,Undirected,Clown_4,1
Clown_3,Undirected,Constable,1
Clown_3,Undirected,Jeffrey,1
Clown_4,Undirected,Constable,1
Clown_4,Undirected,Jeffrey,1
Constable,Undirected,Jeffrey,1
Eaufrid,Undirected,Edelbert,2
Eaufrid,Undirected,Edith,1
Eaufrid,Undirected,Elkwin,1
Eaufrid,Undirected,Ethelswic,3
Eaufrid,Undirected,Jeffrey,4
Eaufrid,Undirected,Keeper,1
Eaufrid,Undirected,Kelric,1
Eaufrid,Undirected,Mildred,1
Eaufrid,Undirected,Offa,1
Eaufrid,Undirected,Osric,4
Eaufrid,Undirected,Outlaw_1,1
Eaufrid,Undirected,Physician,3
Eaufrid,Undirected,Segebert,1
Eaufrid,Undirected,Theodric,3
Eaufrid,Undirected,Theodwald,5
Echo,Undirected,Hermit,1
Echo,Undirected,Segebert,1
Echo,Undirected,Servant_of_Hermit,1
Edelbert,Undirected,Edith,1
Edelbert,Undirected,Ethelswic,3
Edelbert,Undirected,Jeffrey,2
Edelbert,Undirected,Keeper,1
Edelbert,Undirected,Mildred,1
Edelbert,Undirected,Osric,2
Edelbert,Undirected,Physician,2
Edelbert,Undirected,Theodric,1
Edelbert,Undirected,Theodwald,2
Edith,Undirected,Elkwin,1
Edith,Undirected,Ethelswic,1
Edith,Undirected,Jeffrey,1
Edith,Undirected,Keeper,2
Edith,Undirected,Kelric,1
Edith,Undirected,Mason,1
Edith,Undirected,Mildred,5
Edith,Undirected,Offa,4
Edith,Undirected,Osric,3
Edith,Undirected,Outlaw_1,1
Edith,Undirected,Outlaw_2,2
Edith,Undirected,Outlaw_3,2
Edith,Undirected,Segebert,1
Edith,Undirected,Servant,1
Edith,Undirected,Smith,1
Edith,Undirected,Theodric,1
Edith,Undirected,Theodwald,1
Elfrid,Undirected,Elkwin,1
Elfrid,Undirected,Kelric,1
Elfrid,Undirected,Segebert,1
Elfrid,Undirected,Theodric,1
Elkwin,Undirected,Jeffrey,1
Elkwin,Undirected,Keeper,1
Elkwin,Undirected,Kelric,2
Elkwin,Undirected,Mildred,1
Elkwin,Undirected,Offa,1
Elkwin,Undirected,Osric,1
Elkwin,Undirected,Outlaw_1,1
Elkwin,Undirected,Segebert,2
Elkwin,Undirected,Theodric,2
Elkwin,Undirected,Theodwald,1
Ethelswic,Undirected,Jeffrey,3
Ethelswic,Undirected,Keeper,1
Ethelswic,Undirected,Mildred,1
Ethelswic,Undirected,Osric,3
Ethelswic,Undirected,Physician,3
Ethelswic,Undirected,Theodric,1
Ethelswic,Undirected,Theodwald,3
Hermit,Undirected,Offa,1
Hermit,Undirected,Outlaw_1,1
Hermit,Undirected,Segebert,2
Hermit,Undirected,Servant_of_Hermit,2
Jeffrey,Undirected,Keeper,1
Jeffrey,Undirected,Kelric,1
Jeffrey,Undirected,Mildred,1
Jeffrey,Undirected,Offa,1
Jeffrey,Undirected,Osric,3
Jeffrey,Undirected,Outlaw_1,1
Jeffrey,Undirected,Physician,3
Jeffrey,Undirected,Segebert,1
Jeffrey,Undirected,Theodric,2
Jeffrey,Undirected,Theodwald,4
Keeper,Undirected,Kelric,1
Keeper,Undirected,Mildred,2
Keeper,Undirected,Offa,1
Keeper,Undirected,Osric,2
Keeper,Undirected,Outlaw_1,1
Keeper,Undirected,Segebert,1
Keeper,Undirected,Theodric,1
Keeper,Undirected,Theodwald,1
Kelric,Undirected,Mildred,1
Kelric,Undirected,Offa,1
Kelric,Undirected,Osric,1
Kelric,Undirected,Outlaw_1,1
Kelric,Undirected,Segebert,2
Kelric,Undirected,Theodric,2
Kelric,Undirected,Theodwald,1
Mason,Undirected,Mildred,1
Mason,Undirected,Offa,1
Mason,Undirected,Outlaw_2,1
Mason,Undirected,Outlaw_3,1
Mason,Undirected,Smith,1
Mildred,Undirected,Offa,5
Mildred,Undirected,Osric,3
Mildred,Undirected,Outlaw_1,1
Mildred,Undirected,Outlaw_2,2
Mildred,Undirected,Outlaw_3,2
Mildred,Undirected,Segebert,2
Mildred,Undirected,Servant,1
Mildred,Undirected,Smith,1
Mildred,Undirected,Theodric,1
Mildred,Undirected,Theodwald,1
Offa,Undirected,Osric,2
Offa,Undirected,Outlaw_1,2
Offa,Undirected,Outlaw_2,2
Offa,Undirected,Outlaw_3,2
Offa,Undirected,Segebert,3
Offa,Undirected,Servant,1
Offa,Undirected,Servant_of_Hermit,1
Offa,Undirected,Smith,1
Offa,Undirected,Theodric,1
Offa,Undirected,Theodwald,1
Osric,Undirected,Outlaw_1,1
Osric,Undirected,Physician,2
Osric,Undirected,Segebert,1
Osric,Undirected,Servant,1
Osric,Undirected,Theodric,2
Osric,Undirected,Theodwald,4
Outlaw_1,Undirected,Segebert,2
Outlaw_1,Undirected,Servant_of_Hermit,1
Outlaw_1,Undirected,Theodric,1
Outlaw_1,Undirected,Theodwald,1
Outlaw_2,Undirected,Outlaw_3,2
Outlaw_2,Undirected,Smith,1
Outlaw_3,Undirected,Smith,1
Physician,Undirected,Theodric,1
Physician,Undirected,Theodwald,3
Segebert,Undirected,Servant_of_Hermit,2
Segebert,Undirected,Theodric,2
Segebert,Undirected,Theodwald,1
Theodric,Undirected,Theodwald,3
