Source,Type,Target,Weight
Annabel,Undirected,Brittleware,1
Annabel,Undirected,Cautious,2
Annabel,Undirected,Coulter,1
Annabel,Undirected,Curate,2
Annabel,Undirected,Friswood,3
Annabel,Undirected,Gilbert,1
Annabel,Undirected,Hoyden,1
Annabel,Undirected,Moneylacks,2
Annabel,Undirected,Rebecca,1
Annabel,Undirected,Samuel,2
Annabel,Undirected,Striker,3
Annabel,Undirected,Tom,2
Annabel,Undirected,Touchwood,2
Annabel,Undirected,Trampler,1
Annabel,Undirected,Walter,1
Boy,Undirected,Brittleware,1
Boy,Undirected,Cautious,1
Boy,Undirected,City_Wife,1
Boy,Undirected,Coulter,1
Boy,Undirected,Courtier_1,1
Boy,Undirected,Courtier_2,1
Boy,Undirected,Gardener,1
Boy,Undirected,Gentleman,1
Boy,Undirected,Gilbert,1
Boy,Undirected,Hoyden,1
Boy,Undirected,Lady_1,1
Boy,Undirected,Lady_2,1
Boy,Undirected,Martha,1
Boy,Undirected,Moneylacks,1
Boy,Undirected,Rebecca,1
Boy,Undirected,Samuel,1
Boy,Undirected,Servant,1
Boy,Undirected,Spring,1
Boy,Undirected,Walter,1
Brittleware,Undirected,Cautious,2
Brittleware,Undirected,City_Wife,1
Brittleware,Undirected,Coulter,3
Brittleware,Undirected,Courtier_1,1
Brittleware,Undirected,Courtier_2,1
Brittleware,Undirected,Curate,2
Brittleware,Undirected,Friswood,1
Brittleware,Undirected,Gardener,1
Brittleware,Undirected,Gentleman,1
Brittleware,Undirected,Gilbert,3
Brittleware,Undirected,Hoyden,5
Brittleware,Undirected,Lady_1,1
Brittleware,Undirected,Lady_2,1
Brittleware,Undirected,Litterman_1,1
Brittleware,Undirected,Litterman_2,1
Brittleware,Undirected,Martha,1
Brittleware,Undirected,Moneylacks,4
Brittleware,Undirected,Rebecca,3
Brittleware,Undirected,Samuel,3
Brittleware,Undirected,Servant,1
Brittleware,Undirected,Spring,3
Brittleware,Undirected,Striker,1
Brittleware,Undirected,Tom,2
Brittleware,Undirected,Touchwood,1
Brittleware,Undirected,Trampler,2
Brittleware,Undirected,Walter,3
Cautious,Undirected,City_Wife,1
Cautious,Undirected,Coulter,2
Cautious,Undirected,Courtier_1,1
Cautious,Undirected,Courtier_2,1
Cautious,Undirected,Curate,2
Cautious,Undirected,Friswood,2
Cautious,Undirected,Gardener,1
Cautious,Undirected,Gentleman,1
Cautious,Undirected,Gilbert,2
Cautious,Undirected,Hoyden,2
Cautious,Undirected,Lady_1,1
Cautious,Undirected,Lady_2,1
Cautious,Undirected,Martha,1
Cautious,Undirected,Moneylacks,2
Cautious,Undirected,Rebecca,2
Cautious,Undirected,Samuel,2
Cautious,Undirected,Servant,1
Cautious,Undirected,Spring,1
Cautious,Undirected,Striker,2
Cautious,Undirected,Tom,2
Cautious,Undirected,Touchwood,2
Cautious,Undirected,Trampler,1
Cautious,Undirected,Walter,2
City_Wife,Undirected,Coulter,1
City_Wife,Undirected,Courtier_1,1
City_Wife,Undirected,Courtier_2,1
City_Wife,Undirected,Gardener,1
City_Wife,Undirected,Gentleman,1
City_Wife,Undirected,Gilbert,1
City_Wife,Undirected,Hoyden,1
City_Wife,Undirected,Lady_1,1
City_Wife,Undirected,Lady_2,1
City_Wife,Undirected,Martha,1
City_Wife,Undirected,Moneylacks,1
City_Wife,Undirected,Rebecca,1
City_Wife,Undirected,Samuel,1
City_Wife,Undirected,Servant,1
City_Wife,Undirected,Spring,1
City_Wife,Undirected,Walter,1
Coulter,Undirected,Courtier_1,1
Coulter,Undirected,Courtier_2,1
Coulter,Undirected,Curate,1
Coulter,Undirected,Friswood,1
Coulter,Undirected,Gardener,1
Coulter,Undirected,Gentleman,1
Coulter,Undirected,Gilbert,3
Coulter,Undirected,Hoyden,3
Coulter,Undirected,Lady_1,1
Coulter,Undirected,Lady_2,1
Coulter,Undirected,Martha,1
Coulter,Undirected,Moneylacks,3
Coulter,Undirected,Rebecca,2
Coulter,Undirected,Samuel,2
Coulter,Undirected,Servant,1
Coulter,Undirected,Spring,3
Coulter,Undirected,Striker,1
Coulter,Undirected,Tom,3
Coulter,Undirected,Touchwood,2
Coulter,Undirected,Trampler,1
Coulter,Undirected,Walter,3
Courtier_1,Undirected,Courtier_2,1
Courtier_1,Undirected,Gardener,1
Courtier_1,Undirected,Gentleman,1
Courtier_1,Undirected,Gilbert,1
Courtier_1,Undirected,Hoyden,1
Courtier_1,Undirected,Lady_1,1
Courtier_1,Undirected,Lady_2,1
Courtier_1,Undirected,Martha,1
Courtier_1,Undirected,Moneylacks,1
Courtier_1,Undirected,Rebecca,1
Courtier_1,Undirected,Samuel,1
Courtier_1,Undirected,Servant,1
Courtier_1,Undirected,Spring,1
Courtier_1,Undirected,Walter,1
Courtier_2,Undirected,Gardener,1
Courtier_2,Undirected,Gentleman,1
Courtier_2,Undirected,Gilbert,1
Courtier_2,Undirected,Hoyden,1
Courtier_2,Undirected,Lady_1,1
Courtier_2,Undirected,Lady_2,1
Courtier_2,Undirected,Martha,1
Courtier_2,Undirected,Moneylacks,1
Courtier_2,Undirected,Rebecca,1
Courtier_2,Undirected,Samuel,1
Courtier_2,Undirected,Servant,1
Courtier_2,Undirected,Spring,1
Courtier_2,Undirected,Walter,1
Curate,Undirected,Friswood,2
Curate,Undirected,Gilbert,1
Curate,Undirected,Hoyden,2
Curate,Undirected,Litterman_1,1
Curate,Undirected,Litterman_2,1
Curate,Undirected,Moneylacks,1
Curate,Undirected,Rebecca,1
